	CARD_KENYA_30_SAMPLE_POOL_20M	CARD_KENYA_30_SAMPLE_POOL_50M	CARD_KENYA_30_SAMPLE_POOL	CARD_KENYA_POP_POOL_20M	CARD_KENYA_POP_POOL_50M	CARD_UK_30_SAMPLE_POOL_20M	CARD_UK_30_SAMPLE_POOL_50M	CARD_UK_30_SAMPLE_POOL	CARD_UK_POP_POOL_20M	CARD_UK_POP_POOL_50M
3003223_U00096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3004131_AE014075.1	4807.0	11868.0	44463.0	4815.0	11591.0	21060.0	52115.0	187495.0	23423.0	58618.0
3003236_CU458896.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003514_NR_114659.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003480_AL123456.3	0.0	1.0	3.0	1.0	2.0	2.0	2.0	17.0	3.0	9.0
3003541_NC_008596.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003539_NC_008596.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3004059_AE004091.2	17.0	42.0	165.0	1.0	11.0	3.0	7.0	21.0	0.0	0.0
3003502_NR_044732.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3000808_AE004091.2	61.0	188.0	651.0	15.0	40.0	9.0	16.0	76.0	2.0	4.0
3000377_AE004091.2	39.0	87.0	348.0	5.0	15.0	0.0	11.0	30.0	3.0	1.0
3003686_AE004091.2	20.0	34.0	131.0	3.0	11.0	1.0	4.0	13.0	0.0	1.0
3003941_AE005674.2	118.0	308.0	1147.0	130.0	327.0	510.0	1262.0	4479.0	611.0	1399.0
3003926_AE006468.2	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0
3003042_AE007317.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002682_AF226276.1	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	2.0
3003368_AH002539.2	108.0	278.0	971.0	99.0	226.0	356.0	892.0	3222.0	402.0	1038.0
3003727_AP008230.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003853_AY648950.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003285_BX571856.1	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
3003296_CP012011.1	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
3000838_CP023390.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003893_HG738867	114.0	329.0	1135.0	118.0	248.0	83.0	197.0	758.0	268.0	610.0
3003319_HM140977	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
3003866_KP881240.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3004453_M11587.1	0.0	0.0	1.0	0.0	1.0	1.0	1.0	11.0	0.0	1.0
3004049_NC_000913.3	215.0	569.0	2031.0	200.0	480.0	1068.0	2578.0	9419.0	1322.0	3340.0
3004290_NC_000913.3	100.0	267.0	945.0	77.0	181.0	130.0	328.0	1146.0	266.0	676.0
3004166_NR_076151.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003294_U00096.3	341.0	913.0	3173.0	229.0	615.0	594.0	1626.0	5566.0	994.0	2396.0
3003485_AB001778.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003702_AB003428.1	47.0	123.0	471.0	8.0	32.0	3.0	9.0	37.0	1.0	1.0
3002493_AB008454	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002194_AB010417	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3004169_AB011184.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3000319_AB013298.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
3002825_AB014481	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003033_AB015853	37.0	72.0	322.0	12.0	16.0	4.0	11.0	32.0	2.0	1.0
