	CARD_KENYA_30_SAMPLE_POOL_20M	CARD_KENYA_30_SAMPLE_POOL_50M	CARD_KENYA_30_SAMPLE_POOL	CARD_KENYA_POP_POOL_20M	CARD_KENYA_POP_POOL_50M	CARD_UK_30_SAMPLE_POOL_20M	CARD_UK_30_SAMPLE_POOL_50M	CARD_UK_30_SAMPLE_POOL	CARD_UK_POP_POOL_20M	CARD_UK_POP_POOL_50M
3003223_U00096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3004131_AE014075.1	147.169	147.228	147.219	147.399	147.475	147.49	147.435	147.476	147.37	147.313
3003236_CU458896.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003514_NR_114659.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003480_AL123456.3	0.0	150.0	150.0	150.0	149.0	148.0	150.0	146.412	148.0	148.222
3003541_NC_008596.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003539_NC_008596.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3004059_AE004091.2	143.529	147.845	146.118	149.0	140.864	149.833	141.857	143.405	0.0	0.0
3003502_NR_044732.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3000808_AE004091.2	147.295	146.899	146.883	146.533	146.525	140.667	149.031	146.776	149.25	136.375
3000377_AE004091.2	146.615	146.011	146.108	143.6	147.1	0.0	145.273	145.6	149.333	149.0
3003686_AE004091.2	144.9	144.294	142.782	129.5	141.591	127.0	147.75	142.308	0.0	150.0
3003941_AE005674.2	147.763	147.63	147.364	146.823	147.729	147.33	147.218	146.992	146.854	146.604
3003926_AE006468.2	0.0	0.0	0.0	0.0	0.0	0.0	118.0	115.0	0.0	0.0
3003042_AE007317.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002682_AF226276.1	0.0	0.0	0.0	0.0	149.0	0.0	0.0	149.5	0.0	143.75
3003368_AH002539.2	148.162	148.219	148.394	148.167	148.737	148.722	148.32	148.281	147.888	147.914
3003727_AP008230.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003853_AY648950.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003285_BX571856.1	0.0	0.0	116.0	149.5	0.0	0.0	0.0	0.0	0.0	0.0
3003296_CP012011.1	0.0	0.0	149.5	0.0	150.0	0.0	0.0	0.0	0.0	0.0
3000838_CP023390.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003893_HG738867	142.579	142.518	141.526	139.424	143.53	139.446	140.629	140.455	141.914	141.882
3003319_HM140977	0.0	0.0	149.0	150.0	0.0	0.0	0.0	0.0	0.0	149.0
3003866_KP881240.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3004453_M11587.1	0.0	0.0	114.0	0.0	150.0	110.0	148.0	115.273	0.0	146.0
3004049_NC_000913.3	145.988	145.04	145.025	144.232	144.262	144.434	144.392	144.688	144.306	144.234
3004290_NC_000913.3	145.4	145.809	145.448	143.896	143.981	144.946	145.288	145.082	146.291	145.695
3004166_NR_076151.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003294_U00096.3	146.886	146.481	146.459	144.727	146.219	144.774	144.776	144.805	144.383	143.872
3003485_AB001778.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003702_AB003428.1	146.649	147.085	146.255	149.062	144.984	149.333	138.111	146.176	150.0	148.0
3002493_AB008454	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002194_AB010417	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3004169_AB011184.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3000319_AB013298.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	150.0	0.0
3002825_AB014481	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3003033_AB015853	143.243	144.375	144.873	148.167	143.812	149.25	145.136	146.875	149.0	150.0
3003034_AB015853	137.929	141.367	142.972	114.0	137.2	0.0	150.0	149.625	150.0	150.0
3003788_AB016245	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3000423_AB016934	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3000449_AB016934	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3001082_AB023477	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002544_AB028210.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002197_AB040994	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3000958_AB049569	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002020_AB061794	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002201_AB074433	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002202_AB074436	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3004455_AB080798.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3000859_AB083212	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3000166_AB089595	146.387	146.661	146.604	146.197	146.941	147.631	147.227	147.225	147.869	147.636
3003551_AB091338	0.0	148.5	148.5	149.0	138.0	145.583	145.452	144.754	147.865	145.28
3002573_AB104852	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3001856_AB107899	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002332_AB113580	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002607_AB114632	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002333_AB116260	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002563_AB116646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002572_AB119105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3004134_AB162858.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3002593_AB164230	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
