sample_name;total_read_count;total_read_pairs;notes
KENYA_30_SAMPLE_POOL_20M;40000000;20000000;subsampled
KENYA_30_SAMPLE_POOL_50M;100000000;50000000;subsampled
KENYA_30_SAMPLE_POOL;370868614;185434307;not_subsampled
KENYA_POP_POOL_20M;40000000;20000000;subsampled
KENYA_POP_POOL_50M;100000000;50000000;subsampled
UK_30_SAMPLE_POOL_20M;40000000;20000000;subsampled
UK_30_SAMPLE_POOL_50M;100000000;50000000;subsampled
UK_30_SAMPLE_POOL;358070250;179035125;not_subsampled
UK_POP_POOL_20M;40000000;20000000;subsampled
UK_POP_POOL_50M;100000000;50000000;subsampled
