"","ARO","AB_BAL30072","AB_BPI","AB_Clofazimine","AB_G418","AB_GE2270A","AB_LFF571","AB_LysocinE","AB_acriflavine","AB_amikacin","AB_amoxicillin","AB_ampicillin","AB_apramycin","AB_arbekacin","AB_astromicin","AB_azidamfenicol","AB_azithromycin","AB_azlocillin","AB_aztreonam","AB_bacitracinA","AB_bacitracinB","AB_bacitracinF","AB_balofloxacin","AB_benzylpenicillin","AB_bleomycinA2","AB_bleomycinB2","AB_bleomycinicacid","AB_brodimoprim","AB_butirosin","AB_capreomycin","AB_carbenicillin","AB_cefaclor","AB_cefadroxil","AB_cefalexin","AB_cefalotin","AB_cefazolin","AB_cefdinir","AB_cefditoren","AB_cefepime","AB_cefixime","AB_cefmetazole","AB_cefonicid","AB_cefotaxime","AB_cefotetan","AB_cefotiam","AB_cefoxitin","AB_cefpodoxime","AB_cefprozil","AB_cefradine","AB_ceftaroline","AB_ceftazidime","AB_ceftibuten","AB_ceftiofur","AB_ceftizoxime","AB_ceftobiprole","AB_ceftolozane","AB_ceftriaxone","AB_cefuroxime","AB_cephaloridine","AB_cephapirin","AB_chalcomycin","AB_chloramphenicol","AB_chlortetracycline","AB_cinoxacin","AB_ciprofloxacin","AB_clarithromycin","AB_clinafloxacin","AB_clindamycin","AB_clorobiocin","AB_cloxacillin","AB_colistinA","AB_colistinB","AB_coumermycinA1","AB_dalfopristin","AB_dapsone","AB_daptomycin","AB_defensin","AB_demeclocycline","AB_dibekacin","AB_dicloxacillin","AB_dirithromycin","AB_doripenem","AB_doxycycline","AB_edeineA","AB_edeineB","AB_edeineD","AB_edeineF","AB_enacyloxinIIa","AB_enoxacin","AB_ertapenem","AB_erythromycin","AB_ethambutol","AB_factumycin","AB_fleroxacin","AB_flomoxef","AB_florfenicol","AB_flucloxacillin","AB_gatifloxacin","AB_gentamicinA","AB_gentamicinB","AB_gentamicinC","AB_grepafloxacin","AB_griseoviridin","AB_hygromycinB","AB_iclaprim","AB_imipenem","AB_isepamicin","AB_isopenicillinN","AB_josamycin","AB_kanamycinA","AB_kasugamycin","AB_kirromycin","AB_kitasamycin","AB_levofloxacin","AB_lincomycin","AB_linezolid","AB_linoleicacid","AB_lividomycinA","AB_lividomycinB","AB_lomefloxacin","AB_loracarbef","AB_madumycinII","AB_mafenide","AB_mecillinam","AB_meropenem","AB_methicillin","AB_methymycin","AB_metronidazole","AB_mezlocillin","AB_microcinJ25","AB_minocycline","AB_moenomycinA1","AB_moxalactam","AB_moxifloxacin","AB_nalidixicacid","AB_neomycin","AB_netilmicin","AB_nitrofurantoin","AB_norfloxacin","AB_novobiocin","AB_ofloxacin","AB_oleandomycin","AB_oleicacid","AB_ostreogrycinB3","AB_oxacillin","AB_oxytetracycline","AB_palmiticacid","AB_panipenem","AB_paromomycin","AB_patricinA","AB_pefloxacin","AB_penicillin","AB_penicillinN","AB_phenoxymethylpenicillin","AB_piperacillin","AB_plazomicin","AB_pleuromutilin","AB_polymyxinB1","AB_polymyxinB2","AB_polymyxinB3","AB_polymyxinB4","AB_pristinamycinIA","AB_pristinamycinIB","AB_pristinamycinIIA","AB_propicillin","AB_pulvomycin","AB_puromycin","AB_quinupristin","AB_quinupristindalfopristin","AB_ribostamycin","AB_rifabutin","AB_rifampin","AB_rifapentine","AB_rifaximin","AB_rokitamycin","AB_roxithromycin","AB_sisomicin","AB_sitafloxacin","AB_sparfloxacin","AB_spectinomycin","AB_spiramycin","AB_streptomycin","AB_streptothricin","AB_sulfacetamide","AB_sulfadiazine","AB_sulfadimidine","AB_sulfadoxine","AB_sulfamethizole","AB_sulfamethoxazole","AB_sulfasalazine","AB_sulfisoxazole","AB_teicoplanin","AB_telithromycin","AB_temocillin","AB_tetracycline","AB_tetroxoprim","AB_thiamphenicol","AB_thiostrepton","AB_tiamulin","AB_ticarcillin","AB_tigecycline","AB_tobramycin","AB_trimethoprim","AB_trimethoprimsulfamethoxazole","AB_trovafloxacin","AB_tuberactinomycin","AB_tunicamycin","AB_tylosin","AB_vancomycin","AB_vernamycinBgamma","AB_vernamycinC","AB_viomycin","AB_virginiamycinS2"
"1","ARO:3000005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","ARO:3000010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"3","ARO:3000013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","ARO:3000024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","ARO:3000025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","ARO:3000026",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","ARO:3000027",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","ARO:3000074",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","ARO:3000090",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","ARO:3000118",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
