"","KENYA_30_SAMPLE_POOL_20M","KENYA_30_SAMPLE_POOL_50M","KENYA_30_SAMPLE_POOL","KENYA_POP_POOL_20M","KENYA_POP_POOL_50M","UK_30_SAMPLE_POOL_20M","UK_30_SAMPLE_POOL_50M","UK_30_SAMPLE_POOL","UK_POP_POOL_20M","UK_POP_POOL_50M"
"ARO:3000010",0,0,0,0,0,0,0,0,1.27561174632554,2.16074060642927
"ARO:3000013",0,0,0,0,0,0,0,0.998442429809497,1.57027667296951,3.60005908274045
"ARO:3000024",0,1.00126422250316,1.00126422250316,1.00563153660499,0,0,0,0,0,0
"ARO:3000025",0,0.998701687805852,0.727452023385336,0.500631230682164,0.500631230682164,0,0,0,0,0
"ARO:3000026",0,0,0,0.498872115217769,0,0,0,0,0,0
"ARO:3000027",20.1172293265132,53.7937766410912,203.168456947997,14.5648013640239,38.9888380221654,30.842747655584,75.2317851662404,270.532626598465,52.612862745098,126.617787723785
"ARO:3000074",11.4833161334709,30.3003573749188,112.983449364151,10.0111018286457,25.0472040668119,18.6047792363582,65.4693121693122,195.627030539311,31.6283483879234,111.357198938705
"ARO:3000124",0,1.00042766373412,1.00042766373412,0,0,0,0,0,0,0
"ARO:3000149",6.71558263897525,3.74097007223942,15.6705471604298,0,1.95808350888565,0,0,0,0,0
"ARO:3000165",36.5587764705882,85.7291498039216,315.398021960784,31.1564980392157,76.8888258823529,21.7143535853767,61.3058165924857,211.439420392157,74.4110870588235,183.019954509804
"ARO:3000166",19.4362082493867,51.7059799043996,195.697651373523,18.333366603198,46.3323754642342,37.1905875702162,86.8564588296024,334.646709981918,30.9061065197429,67.6884232486079
"ARO:3000167",0,0,0.728003377935674,0,0,0,0,1.00083963056255,0,0
"ARO:3000168",1.65157013458296,4.03123544303797,15.5611274261603,2.75966987549072,6.5375611814346,0,0,0,2.85231392405063,7.56917974683544
"ARO:3000177",1.00250626566416,1.00250626566416,2.03326944813013,0,0,2.47932330827068,9.40685045948204,30.1290322580645,2.07231860570153,3.06721865085675
"ARO:3000178",0.500901622921258,0,0.719037335636817,0.500384911470362,1.06753541423928,0.737590893134748,1.72092068852305,3.50180217391304,0.500901622921258,0.727076428153636
"ARO:3000179",2.22936911390071,5.01486179555767,18.2937994173949,2.90897782753366,8.28973471741638,3.02777389657367,8.01499628582681,24.0286748360472,3.33104476051978,6.83136327817179
"ARO:3000180",0,0,0.499885932069192,0,0,0,0,1.49965779620758,0,0
"ARO:3000182",1.16531881077038,2.05490510998615,6.6671510709547,1.001885902876,1.13663165996326,0,0,0,0,0
"ARO:3000183",0,0,0,0,0,0,0.999000999000999,1.998001998002,0.648180648180648,0.999000999000999
"ARO:3000186",20.5409520833333,47.1418125,174.679455208333,36.6247291666667,94.6247901041667,33.3725729166667,85.798159375,303.292109375,23.7916927083333,59.320503125
